booking_date,arrival_date,departure_date,length_of_stay,num_guests,room_type,guest_type,purpose_of_visit,loyalty_program,previous_cancellations,reservation_status,deposit_type,total_cost,payment_method,hotel_type,number_of_rooms,facilities,lead_time,seasonality,cancellation_date,reason_for_cancellation,lead_time_at_cancellation,guest_age,guest_nationality,property_rating,distance_to_attractions,day_of_week,time_of_day_booking,time_of_day_cancellation,gdp,inflation_rate,presence_of_event,event_date,temperature,precipitation,competitor_price
2024-03-29,2024-04-15,2024-04-23,8,4,single,individual,leisure,False,13.142100261372235,['cancelled'],no_deposit,19538.248979964108,cash,resort,4,"['pool', 'gym', 'kids club', 'restaurant', 'spa']",17,April,,,,73,GTM,4,0.25050002979296404,Monday,11:45:30,12:46:26,9412.269251337795,0.08155613793485803,False,2024-04-25,10.90990683924215,heavy,19538.248979964108
2024-03-28,2024-04-11,2024-04-20,9,3,double,group,business,True,5.953373133235315,['checkout'],cash,17335.559241301486,debit_card,resort,3,['kids club'],14,April,2024-04-01,financial reasons,4.0,70,SLE,4,8.617418462307167,Thursday,06:09:01,18:30:23,5863.250791018833,0.05359694380917383,True,2024-04-30,17.79270354650738,light,17335.559241301486
2024-03-26,2024-04-13,2024-04-14,1,3,suite,individual,business,False,6.024654388528569,['cancelled'],cash,15651.58418701573,debit_card,resort,1,"['kids club', 'spa']",18,April,,,,18,BEL,4,6.756422757189755,Saturday,09:06:16,11:29:14,9490.239794171439,0.04408592107644197,False,2024-05-09,23.844534571300095,none,15651.58418701573
2024-03-25,2024-03-27,2024-04-06,10,4,double,corporate,business,False,11.304930960397607,['checkout'],cash,16581.716349306065,credit_card,motel,4,"['parking', 'wifi']",2,March,,,,63,BRB,1,9.552162077421906,Wednesday,10:23:52,02:34:32,7685.045308677064,0.09771735411784477,False,2024-05-11,46.18173553824642,light,16581.716349306065
2024-04-13,2024-05-01,2024-05-06,5,4,suite,corporate,business,True,11.074402977111582,['cancelled'],no_deposit,17077.86321269534,credit_card,motel,2,['parking'],18,May,2024-04-22,change of plans,9.0,60,GNB,3,3.7476741779555236,Wednesday,01:29:59,03:39:41,9905.39194221976,0.049632742670069854,False,2024-05-20,28.40244233669602,moderate,17077.86321269534
2024-04-12,2024-04-29,2024-04-30,1,1,single,individual,leisure,True,9.85704106256647,['cancelled'],credit_card,17513.459149025013,credit_card,resort,1,"['restaurant', 'pool']",17,April,,,,76,ESP,2,4.779739784652283,Monday,09:13:10,19:09:33,1626.3253862070328,0.022393092143950025,True,2024-05-15,27.221261802949925,light,17513.459149025013
2024-03-23,2024-04-04,2024-04-14,10,3,suite,individual,business,True,19.344356195834628,['cancelled'],no_deposit,9282.133782232491,debit_card,city hotel,1,"['business center', 'restaurant']",12,April,,,,32,THA,3,5.664823595496342,Thursday,20:28:23,20:22:39,3361.949760724177,0.05090770732168765,False,2024-05-15,13.145427817856106,none,9282.133782232491
2024-04-20,2024-05-06,2024-05-16,10,2,suite,individual,other,False,1.1129143380996065,['checkout'],credit_card,17871.13632222052,cash,city hotel,1,"['gym', 'gym']",16,May,,,,26,MMR,2,5.500817944025785,Monday,20:31:15,23:49:57,5100.87219072223,0.025919808552285636,False,2024-05-13,24.93262504594695,light,17871.13632222052
2024-04-18,2024-04-29,2024-04-30,1,2,double,group,business,False,11.138567765183296,['cancelled'],credit_card,2685.5685007423795,debit_card,motel,2,['wifi'],11,April,2024-04-27,change of plans,9.0,38,SGP,2,3.5950513031580837,Monday,00:05:13,23:12:15,3149.9230001863343,0.05476900555343624,True,2024-04-23,-0.6492150756582458,moderate,2685.5685007423795
2024-04-15,2024-05-06,2024-05-12,6,4,single,individual,business,True,18.93735381561475,['cancelled'],credit_card,16250.12522762913,credit_card,motel,4,['parking'],21,May,,,,50,GEO,3,8.549963853747053,Monday,05:36:13,19:09:21,9370.77593295815,0.012579022727614839,True,2024-05-18,11.409031659115286,moderate,16250.12522762913
2024-03-29,2024-04-15,2024-04-25,10,1,single,group,business,True,3.566486263935731,['cancelled'],cash,17175.427396532992,cash,motel,1,['wifi'],17,April,,,,31,TKM,3,8.891143877597225,Monday,17:48:52,00:52:08,7927.070606187605,0.030193352221482554,False,2024-05-14,8.035672931860674,light,17175.427396532992
2024-04-09,2024-04-23,2024-04-27,4,3,double,corporate,business,True,6.781661101550204,['checkout'],cash,11464.883353959063,cash,city hotel,3,['business center'],14,April,,,,52,MCO,4,5.638193624485521,Tuesday,18:30:50,11:40:50,1001.8130518506061,0.08137026929339407,False,2024-05-08,36.40818578306808,heavy,11464.883353959063
2024-04-02,2024-04-12,2024-04-14,2,1,double,group,leisure,False,9.70126699794934,['cancelled'],credit_card,16975.605980325672,cash,motel,1,['parking'],10,April,,,,20,MYS,5,7.210959409573818,Friday,23:50:48,18:40:37,6772.44111754219,0.05224923937786638,False,2024-05-08,-0.15659307266952993,moderate,16975.605980325672
2024-04-04,2024-04-16,2024-04-18,2,1,double,group,leisure,False,16.248313816236188,['checkout'],no_deposit,1796.8745933455195,debit_card,resort,1,"['kids club', 'pool', 'pool', 'pool']",12,April,,,,72,UKR,5,9.306056764203243,Tuesday,19:02:59,19:44:25,7507.264657934268,0.03994036630072124,True,2024-04-29,-9.493285632489638,none,1796.8745933455195
2024-03-23,2024-03-28,2024-04-02,5,2,double,corporate,business,True,4.000542680646593,['cancelled'],no_deposit,9767.785933581828,cash,motel,2,['parking'],5,March,2024-03-27,unforeseen circumstances,4.0,33,BEL,3,0.9586008231517519,Thursday,20:27:38,20:13:42,1029.0842174485451,0.09347557425065832,True,2024-05-12,4.762555229646882,moderate,9767.785933581828
2024-04-15,2024-04-22,2024-04-23,1,2,single,corporate,business,True,12.412018333880184,['checkout'],credit_card,5635.923611791595,debit_card,motel,2,"['parking', 'parking']",7,April,,,,47,VEN,3,8.045329042690271,Monday,06:37:23,23:04:40,2826.921953253267,0.07894487970225454,False,2024-04-23,11.146605052691775,light,5635.923611791595
2024-04-10,2024-04-13,2024-04-17,4,1,double,individual,business,False,18.053718876820344,['cancelled'],credit_card,1752.69563404771,debit_card,resort,1,"['restaurant', 'restaurant', 'gym']",3,April,,,,55,BLZ,2,5.643632557326309,Saturday,14:56:23,09:18:32,8469.081209797545,0.05878296209649878,True,2024-05-10,-1.7417051472659342,none,1752.69563404771
2024-04-01,2024-04-24,2024-05-03,9,3,suite,group,other,True,15.810769132039425,['cancelled'],no_deposit,16763.36791822023,debit_card,motel,1,['wifi'],23,April,,,,42,USA,5,5.482122132863106,Wednesday,22:44:28,00:31:45,7604.636189820112,0.05199055805050962,False,2024-04-28,11.620537583694581,none,16763.36791822023
2024-04-02,2024-04-30,2024-05-07,7,4,double,corporate,business,True,16.61184203220689,['checkout'],cash,9875.737401339891,cash,motel,4,"['wifi', 'parking']",28,April,,,,78,CIV,2,9.273802240368449,Tuesday,14:26:49,11:39:13,6917.379738415404,0.01805374435258275,True,2024-05-09,-6.386546460348593,none,9875.737401339891
2024-03-24,2024-04-13,2024-04-14,1,1,suite,corporate,business,True,7.300770556361678,['checkout'],credit_card,14363.06151303992,debit_card,city hotel,1,"['restaurant', 'business center', 'gym']",20,April,,,,49,NIC,5,6.0890940386269055,Saturday,21:36:45,13:08:07,8161.93378465282,0.025359564754294833,False,2024-04-28,39.303651811517824,none,14363.06151303992
